@relation A012GestTest3
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute label {A,B,C,D}
@data
146.0,87.0,182.0,D
146.0,87.0,168.0,D
153.0,102.0,175.0,D
153.0,94.0,182.0,D
153.0,102.0,182.0,D
153.0,102.0,182.0,D
146.0,94.0,182.0,D
138.0,102.0,204.0,D
146.0,102.0,189.0,D
138.0,94.0,211.0,D
138.0,94.0,204.0,D
138.0,94.0,197.0,D
146.0,94.0,189.0,D
146.0,94.0,182.0,D
146.0,94.0,182.0,D
146.0,94.0,189.0,D
146.0,94.0,182.0,D
146.0,94.0,189.0,D
